count|employer_name|employer_address1|employer_address2|employer_city
19|NIYANTRA INC|600 PARK OFFICES DRIVE|SUITE 366|DURHAM
19|Cloud Giants LLC|600 Park Offices Drive|080|Research Triangle Park
19|Cloud Giants LLC|600 Park Offices Drive|080|Durham
19|Zaloni Inc|600 Park Offices Drive|250 Suite|Research Triangle Park
19|Worldwide Clinical Trials Holdings Inc|600 Park Offices Drive|STE 200|Durham
19|Worldwide Clinical Trials Early Phase Services LLC|600 Park Offices Drive|STE 200|Durham
19|KDex Global LLC|600 Park Offices Drive|Ste 300|Durham
19|Worldwide Clinical Trials Holdings Inc|600 Park Offices Drive|Suite 200|RTP, Durham
19|Worldwide Clinical Trials Early Phase Services LLC|600 Park Offices Drive|Suite 200|RTP, Durham
19|Worldwide Clinical Trials Early Phase Services/Bioanalytical Sciences LLC|600 Park Offices Drive|Suite 200|RTP, Durham
19|Worldwide Clinical Trials Holdings Inc|600 Park Offices Drive|Suite 200|Research Triangle Park
19|Zaloni Inc|600 Park Offices Drive|Suite 250|Research Triangle Park
19|PatientPay Inc|600 Park Offices Drive|Suite 300|Durham
19|Bring IT by Macro LLC|600 Park Offices Drive|Suite 300|Durham
19|Prosquire LLC|600 Park Offices Drive|Suite 300|Durham
19|KDex Global LLC|600 Park Offices Drive|Suite 300|Durham
19|Data Carbon LLC|600 Park Offices Drive|Suite 300 D1|Durham
19|Niyantra Inc|600 Park Offices Drive|Suite 366|Durham
19|Bring IT by Marco LLC|600 Park offices Drive|Suite 300|Durham
18|Vidlexinfo LLC|10130 Mallard Creek ROAD|Suite 110|Charlotte
18|Tila Technologies Inc|10130 Mallard Creek Road|STE 134|Charlotte
18|METRIX IT SOLUTIONS INC|10130 Mallard Creek Road|SUITE 235|Charlotte
18|Acrotek IT Solutions INC|10130 Mallard Creek Road|Ste 235|Charlotte
18|Inteca IT Solutions LLC|10130 Mallard Creek Road|Ste 235|Charlotte
18|Vidlexinfo LLC|10130 Mallard Creek Road|Suite 110|Charlotte
18|VIDLEXINFO LLC|10130 Mallard Creek Road|Suite 110|Charlotte
18|TILA Technologies Inc|10130 Mallard Creek Road|Suite 134|Charlotte
18|TILA Tilatechnologies Inc|10130 Mallard Creek Road|Suite 134|Charlotte
18|Perficientcorp Inc|10130 Mallard Creek Road|Suite 230|Charlotte
18|INTECA IT SOLUTIONS LLC|10130 Mallard Creek Road|Suite 235|Charlotte
18|GVKTEK Inc|10130 Mallard Creek Road|Suite 300|Charlotte
18|Alphind Healthcare Inc|10130 Mallard Creek Road|Suite 300|Charlotte
18|Alphind Software Solutions Inc|10130 Mallard Creek Road|Suite 300|Charlotte
18|Samhires LLC|10130 Mallard Creek Road|Suite 300|Charlotte
18|GVKTEK INC|10130 Mallard Creek Road|Suite 300|Charlotte
18|TechOps Digital LLC|10130 Mallard Creek Road|Suite 333|Charlotte
18|Nexus AI Solutions Inc,|10130 Mallard Creek Road|Suite 335|Charlotte
18|Honeywell International Inc|855 S MINT STREET||CHARLOTTE
18|Fiplex Communications Inc|855 S MINT STREET||CHARLOTTE
18|Intelligrated Services LLC|855 S MINT STREET||CHARLOTTE
18|Intelligrated Systems LLC|855 S MINT STREET||CHARLOTTE
18|Compressor Controls LLC|855 S MINT STREET||CHARLOTTE
18|Honeywell International Inc|855 S Mint Street||Charlotte
18|Honeywell Security Americas LLC|855 S Mint Street||Charlotte
18|Tridium Inc|855 S Mint Street||Charlotte
18|Transnorm System Inc|855 S Mint Street||Charlotte
18|Maxon Corporation|855 S Mint Street||Charlotte
18|Hand Held Products Inc|855 S Mint Street||Charlotte
18|Intermec Technologies Corporation|855 S Mint Street||Charlotte
18|Intelligrated Services LLC|855 S Mint Street||Charlotte
18|TRIDIUM INC|855 S Mint Street||Charlotte
18|Honeywell Analytics Inc|855 S Mint Street||Charlotte
18|Honeywell Capital Management LLC|855 S Mint Street||Charlotte
18|Vocollect Inc|855 S Mint Street||Charlotte
18|Honeywell Safety Products USA Inc|855 S Mint Street||Charlotte
15|ENTERPRISE QA LABS INC|2530 MERIDIAN PARKWAY|SUITE 300|DURHAM
15|ALLSTATE TECHNOLOGIES INC|2530 MERIDIAN PARKWAY|SUITE 300|DURHAM
15|INFOTEK GROUPS INC|2530 MERIDIAN PARKWAY|SUITE 300|DURHAM
15|YJ INFOTECH LLC|2530 MERIDIAN PARKWAY|SUITE 300|DURHAM
